total_area,kitchen_area,rooms,floor,floors_total,ceiling_height,house_year_clean,renovation_ord,district_Алатауский р-н,district_Алмалинский р-н,district_Ауэзовский р-н,district_Бостандыкский р-н,district_Жетысуский р-н,district_Медеуский р-н,district_Наурызбайский р-н,district_Турксибский р-н,dist_to_metro_km,schools_count,universities_count,malls_count,parks_count,kindergarten_density,has_complex,balcony_count,parking_level,price_clean
45.0,11.0,1.0,2.0,5.0,2.8,2019,-1,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,0,1,0,27500000
93.9,11.0,2.0,4.0,9.0,3.3,2024,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,148046000
110.5,11.0,3.0,4.0,9.0,3.3,2024,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,146412500
70.0,11.0,3.0,8.0,12.0,2.7,2014,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,1,2,72000000
82.0,30.0,3.0,9.0,10.0,2.8,2005,2,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,2,1,63000000
32.0,11.0,1.0,4.0,9.0,2.7,2025,-1,False,False,False,False,False,False,True,False,14.931964856764512,6.0,0.0,0.0,1.0,6.0,1,0,2,22000000
132.0,11.0,3.0,9.0,13.0,3.0,2014,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,1,2,99000000
137.3,15.33,5.0,5.0,6.0,2.6,2003,2,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,1,0,87000000
40.0,10.0,1.0,3.0,12.0,2.8,2016,3,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,1,2,38900000
85.0,11.0,3.0,14.0,16.0,3.0,2025,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,0,112000000
36.0,11.0,1.0,6.0,6.0,2.7,2019,3,False,False,False,False,False,False,True,False,14.931964856764512,6.0,0.0,0.0,1.0,6.0,1,1,2,18500000
59.0,6.0,3.0,3.0,4.0,2.8,1970,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,1,2,51000000
51.0,11.0,2.0,9.0,17.0,2.7,2023,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,2,48000000
42.3,11.9,1.0,3.0,5.0,2.9,1993,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,1,0,38999990
33.4,11.0,1.0,4.0,9.0,2.8,2025,3,False,False,False,False,False,False,True,False,14.931964856764512,6.0,0.0,0.0,1.0,6.0,1,0,1,23000000
74.0,9.0,4.0,2.0,4.0,2.8,1971,2,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,1,0,58000000
55.0,11.0,3.0,1.0,2.0,3.0,1964,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,0,0,30000000
28.4,11.0,1.0,4.0,10.0,2.7,2025,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,0,0,34500000
57.6,11.0,2.0,11.0,12.0,2.75,2017,2,True,False,False,False,False,False,False,False,4.7409534858537015,11.0,0.0,0.0,4.0,8.0,1,1,2,33500000
382.0,11.0,2.0,4.0,9.0,3.0,2022,-1,False,False,False,False,False,False,False,False,14.931964856764512,0.0,0.0,0.0,0.0,15.306989492919142,1,0,0,480000000
85.31,11.0,3.0,4.0,9.0,2.7,2026,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,58181420
45.49,11.0,1.0,4.0,9.0,3.0,2024,-1,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,1,0,0,63686000
100.6,11.0,3.0,4.0,9.0,3.0,2025,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,71023600
68.1,11.0,2.0,8.0,9.0,2.8,2020,3,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,0,1,2,33500000
68.5,11.0,2.0,10.0,10.0,3.0,2024,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,1,2,70000000
134.0,11.0,3.0,3.0,6.0,3.0,2012,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,2,2,171700000
166.0,11.0,3.0,4.0,4.0,3.0,2001,0,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,2,0,190000000
81.0,11.0,2.0,16.0,18.0,3.0,2020,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,0,133000000
52.0,7.0,2.0,2.0,2.0,3.0,1957,3,False,True,False,False,False,False,False,False,0.4395892137986272,46.0,18.0,18.0,30.0,18.0,0,1,0,42000000
72.0,11.0,3.0,1.0,5.0,2.8,1987,3,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,0,0,61000000
410.0,11.0,2.0,3.0,3.0,3.3,2023,1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,2,2,490000000
54.0,9.3,2.0,7.0,9.0,2.8,1994,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,0,1,0,41000000
60.0,11.0,3.0,4.0,5.0,2.6,1970,2,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,0,1,0,45000000
87.2,11.0,2.0,4.0,9.0,3.5,2018,-1,False,False,False,False,False,True,False,False,0.8927157848856486,32.0,16.0,17.0,25.0,15.0,1,0,0,69853042
53.6,11.0,1.0,4.0,9.0,2.85,2025,-1,False,False,True,False,False,False,False,False,4.1589199343330785,60.0,4.0,14.0,11.0,20.0,1,0,0,37520000
74.73,11.0,3.0,4.0,9.0,3.0,2026,-1,False,False,False,False,False,False,False,True,12.330674907186511,23.0,5.0,5.0,19.0,10.0,1,0,0,44389620
135.07,11.0,4.0,4.0,9.0,3.0,2024,-1,False,False,False,True,False,False,False,False,5.511278113736841,49.0,7.0,10.0,24.0,22.0,1,0,0,216112000
